"UserID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_score","Segment"
1360376,22,8,13,3,2,1,321,"Potential Loyalists"
1360377,220,68,297.8352,1,4,0,140,"Need Attention"
1360378,222,59,426.57,1,4,0,140,"Need Attention"
1360380,20,18,141.4593,4,2,0,420,"Loyalists"
1360381,105,6,48.5,3,1,1,311,"Potential Loyalists"
1360382,20,33,2326.88,4,2,0,420,"Loyalists"
1360383,18,23,151.0506,4,2,0,420,"Loyalists"
1360384,16,22,103.63,4,2,0,420,"Loyalists"
1360385,7,12,129.38,4,2,0,420,"Loyalists"
1360386,194,41,210.97,2,3,0,230,"Promising"
1360387,223,60,114.23,1,4,0,140,"Need Attention"
1360388,21,4,100,3,1,0,310,"Potential Loyalists"
1360389,8,3,733.25,4,1,0,410,"Loyalists"
1360392,1,3,112.8176,4,1,0,410,"Loyalists"
1360394,5,2,50,4,1,1,411,"Loyalists"
1360395,225,60,1247.74,1,4,0,140,"Need Attention"
1360399,193,19,101,2,2,0,220,"Promising"
1360400,5,7,107.1753,4,1,0,410,"Loyalists"
1360402,10,11,453.01,4,2,0,420,"Loyalists"
1360403,206,39,773.42,2,2,0,220,"Promising"
1360405,92,31,162.07,3,2,0,320,"Potential Loyalists"
1360408,227,94,641.61,1,4,0,140,"Need Attention"
1360410,141,63,373.41,2,4,0,240,"Promising"
1360411,214,27,197.9,1,2,0,120,"Need Attention"
1360412,214,91,1054,1,4,0,140,"Need Attention"
1360413,0,1,2.32,4,1,1,411,"Loyalists"
1360414,124,44,188.4902,2,3,0,230,"Promising"
1360415,1,2,15,4,1,1,411,"Loyalists"
1360416,191,35,578.89,2,2,0,220,"Promising"
1360418,226,7,323.55,1,1,0,110,"Need Attention"
1360419,9,9,95.77,4,2,0,420,"Loyalists"
1360420,120,72,1455.45,2,4,0,240,"Promising"
1360421,213,102,1151.5943,1,4,0,140,"Need Attention"
1360424,0,2,25,4,1,1,411,"Loyalists"
1360426,207,16,683.93,2,2,0,220,"Promising"
1360427,1,2,1789,4,1,0,410,"Loyalists"
1360432,0,1,10,4,1,1,411,"Loyalists"
1360434,162,123,7431.27,2,4,3,243,"Promising"
1360435,208,23,141.91,2,2,0,220,"Promising"
1360439,213,111,1197.21,1,4,0,140,"Need Attention"
1360440,21,3,100,3,1,0,310,"Potential Loyalists"
1360441,69,24,88.8,3,2,0,320,"Potential Loyalists"
1360444,23,23,230.93,3,2,0,320,"Potential Loyalists"
1360447,3,4,115.096,4,1,0,410,"Loyalists"
1360448,2,2,30,4,1,1,411,"Loyalists"
1360449,224,161,963.53,1,4,0,140,"Need Attention"
1360451,223,91,509.03,1,4,0,140,"Need Attention"
1360452,224,120,665.56,1,4,0,140,"Need Attention"
1360453,210,68,936,2,4,0,240,"Promising"
1360454,221,36,335.3,1,2,0,120,"Need Attention"
